order,PhylGroup,monkey,mean_phylum_abundance,taxa,CommonName,study,monkey_order
87,Ape,Homo sapiens,2.494021853,Proteobacteria,Human,Berer et al. 2017,9
88,Ape,Homo sapiens,0.541689679,Rare or unassigned,Human,Berer et al. 2017,9
89,Ape,Homo sapiens,0.467577894,Tenericutes,Human,Berer et al. 2017,9
90,Ape,Pan troglodytes,1.94,Tenericutes,Chimpanzee,Mann et al. 2020,10
91,Ape,Pan troglodytes,0.335,Spirochaetes,Chimpanzee,Mann et al. 2020,10
92,Ape,Pan troglodytes,4.745,Actinobacteria,Chimpanzee,Mann et al. 2020,10
93,Ape,Pan troglodytes,19.735,Bacteroidetes,Chimpanzee,Mann et al. 2020,10
94,Ape,Pan troglodytes,3.015,Kiritimatiellaeota,Chimpanzee,Mann et al. 2020,10
95,Ape,Pan troglodytes,52.265,Firmicutes,Chimpanzee,Mann et al. 2020,10
96,Ape,Pan troglodytes,0.43,Rare or unassigned,Chimpanzee,Mann et al. 2020,10
97,Ape,Pan troglodytes,12.4,Proteobacteria,Chimpanzee,Mann et al. 2020,10
98,Ape,Pan troglodytes,4.53,Euryarchaeota,Chimpanzee,Mann et al. 2020,10
99,Ape,Pan troglodytes,0.605,Cyanobacteria,Chimpanzee,Mann et al. 2020,10
100,Old_World,Cercopithecus ascanius,0.172,Rare or unassigned,Red tailed monkey,Mann et al. 2020,11
101,Old_World,Cercopithecus ascanius,1.092,Kiritimatiellaeota,Red tailed monkey,Mann et al. 2020,11
102,Old_World,Cercopithecus ascanius,2.108,Spirochaetes,Red tailed monkey,Mann et al. 2020,11
103,Old_World,Cercopithecus ascanius,3.936,Actinobacteria,Red tailed monkey,Mann et al. 2020,11
104,Old_World,Cercopithecus ascanius,6.152,Tenericutes,Red tailed monkey,Mann et al. 2020,11
105,Old_World,Cercopithecus ascanius,0.132,Euryarchaeota,Red tailed monkey,Mann et al. 2020,11
106,Old_World,Cercopithecus ascanius,2.296,Cyanobacteria,Red tailed monkey,Mann et al. 2020,11
107,Old_World,Cercopithecus ascanius,1.636,Proteobacteria,Red tailed monkey,Mann et al. 2020,11
108,Old_World,Cercopithecus ascanius,20.3,Bacteroidetes,Red tailed monkey,Mann et al. 2020,11
109,Old_World,Cercopithecus ascanius,62.176,Firmicutes,Red tailed monkey,Mann et al. 2020,11
110,Old_World,Colobus guereza,0.64,Rare or unassigned,Mantled guereza,Mann et al. 2020,12
111,Old_World,Colobus guereza,0.59,Kiritimatiellaeota,Mantled guereza,Mann et al. 2020,12
112,Old_World,Colobus guereza,0.37,Actinobacteria,Mantled guereza,Mann et al. 2020,12
113,Old_World,Colobus guereza,6.58,Euryarchaeota,Mantled guereza,Mann et al. 2020,12
114,Old_World,Colobus guereza,3.7,Tenericutes,Mantled guereza,Mann et al. 2020,12
115,Old_World,Colobus guereza,0.23,Proteobacteria,Mantled guereza,Mann et al. 2020,12
116,Old_World,Colobus guereza,0,Spirochaetes,Mantled guereza,Mann et al. 2020,12
117,Old_World,Colobus guereza,66.33,Firmicutes,Mantled guereza,Mann et al. 2020,12
118,Old_World,Colobus guereza,0.11,Cyanobacteria,Mantled guereza,Mann et al. 2020,12
119,Old_World,Colobus guereza,21.45,Bacteroidetes,Mantled guereza,Mann et al. 2020,12
120,Old_World,Papio hamadryas,6.42,Tenericutes,Hamadryas baboon,Mann et al. 2020,13
121,Old_World,Papio hamadryas,2.144,Spirochaetes,Hamadryas baboon,Mann et al. 2020,13
122,Old_World,Papio hamadryas,2.776,Proteobacteria,Hamadryas baboon,Mann et al. 2020,13
123,Old_World,Papio hamadryas,1.06,Cyanobacteria,Hamadryas baboon,Mann et al. 2020,13
124,Old_World,Papio hamadryas,56.616,Firmicutes,Hamadryas baboon,Mann et al. 2020,13
125,Old_World,Papio hamadryas,14.776,Bacteroidetes,Hamadryas baboon,Mann et al. 2020,13
126,Old_World,Papio hamadryas,2.092,Rare or unassigned,Hamadryas baboon,Mann et al. 2020,13
127,Old_World,Papio hamadryas,5.928,Kiritimatiellaeota,Hamadryas baboon,Mann et al. 2020,13
128,Old_World,Papio hamadryas,3.188,Actinobacteria,Hamadryas baboon,Mann et al. 2020,13
129,Old_World,Papio hamadryas,5,Euryarchaeota,Hamadryas baboon,Mann et al. 2020,13
130,Old_World,Piliocolobus badius,0.928,Spirochaetes,Western red colobus,Mann et al. 2020,14
131,Old_World,Piliocolobus badius,0.012,Rare or unassigned,Western red colobus,Mann et al. 2020,14
132,Old_World,Piliocolobus badius,67.608,Firmicutes,Western red colobus,Mann et al. 2020,14
133,Old_World,Piliocolobus badius,0.004,Euryarchaeota,Western red colobus,Mann et al. 2020,14
134,Old_World,Piliocolobus badius,0.856,Proteobacteria,Western red colobus,Mann et al. 2020,14
135,Old_World,Piliocolobus badius,5.624,Actinobacteria,Western red colobus,Mann et al. 2020,14
136,Old_World,Piliocolobus badius,7.464,Tenericutes,Western red colobus,Mann et al. 2020,14
137,Old_World,Piliocolobus badius,2.764,Kiritimatiellaeota,Western red colobus,Mann et al. 2020,14
138,Old_World,Piliocolobus badius,1.068,Cyanobacteria,Western red colobus,Mann et al. 2020,14
139,Old_World,Piliocolobus badius,13.672,Bacteroidetes,Western red colobus,Mann et al. 2020,14
140,Old_World,Theropithecus gelada,2.124,Tenericutes,Gelada,Mann et al. 2020,15
141,Old_World,Theropithecus gelada,3.86,Rare or unassigned,Gelada,Mann et al. 2020,15
142,Old_World,Theropithecus gelada,0.736,Actinobacteria,Gelada,Mann et al. 2020,15
143,Old_World,Theropithecus gelada,4.608,Kiritimatiellaeota,Gelada,Mann et al. 2020,15
144,Old_World,Theropithecus gelada,1.468,Spirochaetes,Gelada,Mann et al. 2020,15
145,Old_World,Theropithecus gelada,0.648,Cyanobacteria,Gelada,Mann et al. 2020,15
146,Old_World,Theropithecus gelada,2.056,Proteobacteria,Gelada,Mann et al. 2020,15
147,Old_World,Theropithecus gelada,1,Euryarchaeota,Gelada,Mann et al. 2020,15
148,Old_World,Theropithecus gelada,44.74,Firmicutes,Gelada,Mann et al. 2020,15
149,Old_World,Theropithecus gelada,38.76,Bacteroidetes,Gelada,Mann et al. 2020,15
150,Old_World,This study,21.33861192,Actinobacteria,Current study,Current study,16
151,Old_World,This study,22.15066949,Bacteroidetes,Current study,Current study,16
152,Old_World,This study,0.96102405,Cyanobacteria,Current study,Current study,16
153,Old_World,This study,2.999511735,Euryarchaeota,Current study,Current study,16
154,Old_World,This study,26.57333889,Firmicutes,Current study,Current study,16
155,Old_World,This study,15.15268295,Kiritimatiellaeota,Current study,Current study,16
156,Old_World,This study,0.959097999,Proteobacteria,Current study,Current study,16
157,Old_World,This study,7.342546577,Rare or unassigned,Current study,Current study,16
158,Old_World,This study,0.619070439,Spirochaetes,Current study,Current study,16
159,Old_World,This study,1.903445953,Tenericutes,Current study,Current study,16
